Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
PhysicalSizeYUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å","","",TRUE,Imaging Level 2,"","",""
PhysicalSizeZ,Physical size (Z-dimension) of a pixel. Units are set by PhysicalSizeZUnit. Floating point value > 0.,"",PhysicalSizeZUnit,"",TRUE,Imaging Level 2,"","",""
PhysicalSizeZUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å","","",TRUE,Imaging Level 2,"","",""
Pixels BigEndian,Boolean (True/False),"True, False","","",TRUE,Imaging Level 2,"","",""
PlaneCount,"Number of Z-planes (not to be confused with downsampled """"pyramid""""). Integer >=1","","","",TRUE,Imaging Level 2,"","",""
SizeC,Number of channels. Integer >= 1,"","","",TRUE,Imaging Level 2,"","",""
SizeT,Number of time points. Integer >= 1,"","","",TRUE,Imaging Level 2,"","",""
SizeX,Size of image: X dimension (in pixels). Integer >= 1,"","","",TRUE,Imaging Level 2,"","",""
SizeY,Size of image: Y dimension (in pixels). Integer >= 1,"","","",TRUE,Imaging Level 2,"","",""
SizeZ,Size of image: Z dimension (in pixels). Integer >= 1,"","","",TRUE,Imaging Level 2,"","",""
PixelType,"Data type for each pixel value. E.g. """"uint16""""","int8, int16, int32, uint8, uint16, uint32, float, double, bit","","",TRUE,Imaging Level 2,"","",""
Sequencing,Module for next generation sequencing assays,"","","",FALSE,Assay,"",http://example.org/htan/Sequencing,""
Sequencing Platform,A platform is an object aggregate that is the set of instruments and software needed to perform a process [OBI_0000050]. Specific model of the sequencing instrument.,"Illumina Next Seq 500, Illumina Next Seq 550, Illumina Next Seq 2500, Illumina NovaSeq 6000,  Illumina MiSeq, 454 GS FLX Titanium, AB SOLiD 4 AB SOLiD 2, AB SOLiD 3, Complete Genomics, Illumina HiSeq X Ten, Illumina HiSeq X Five, Illumina Genome Analyzer II, Illumina Genome Analyzer IIx, Illumina HiSeq 2000, Illumina HiSeq 2500, Illumina HiSeq 4000, Illumina MiSeq, Illumina NextSeq, Ion Torrent PGM, Ion Torrent Proton, Ion Torrent S5, PacBio RS, NovaSeq 6000, NovaSeqS4, Ultima Genomics UG100, Oxford Nanopore minION, GridION, PromethION, PacBio Sequel2, Revio, Other, unknown, Not Reported",,,TRUE,Device,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Library Construction Method,Process which results in the creation of a library from fragments of DNA using cloning vectors or oligonucleotides with the role of adaptors [OBI_0000711],"Smart-seq2, Smart-SeqV4, 10xV1.0, 10xV1.1, 10xV2, 10xV3,10xV3.1, CEL-seq2, Drop-seq, inDropsV2, inDropsV3, TruDrop, sci-ATAC-seq",,,TRUE,Sequencing,,http://purl.obolibrary.org/obo/OBI_0000711,
Nucleic Acid Source,The source of the input nucleic molecule,"Single Cell, Bulk Whole Cell, Single Nucleus, Bulk Nuclei",,,TRUE,Sequencing,,http://example.org/htan/NucleicAcidSource,
Read1,Read 1 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert, DNA Insert, Sample Index, Cell Barcode","","",TRUE,Sequencing,"","",""
Read2,Read 2 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert, DNA Insert, Sample Index, Cell Barcode","","",TRUE,Sequencing,"","",""
Technical Replicate Group,A common term for all files belonging to the same cell or library. Provide a numbering of each library prep batch (can differ from encapsulation and sequencing batch),,,,FALSE,Sequencing,,,
Sequencing Batch ID,Links samples to a specific local sequencer run. Can be string or 'null',,,,TRUE,Sequencing,,,
Total Reads,Total number of reads per sample. Integer,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group_qc,
Dissociation Method,The tissue dissociation method used for scRNASeq or scATAC-seq assays,"gentleMACS, Dounce, Enzymatic Digestion, Not Applicable",,,TRUE,Single_Cell_Sequencing,,,
Cryopreserved Cells in Sample,Indicate if library preparation was based on revived frozen cells.,"Yes, No",,,TRUE,Single_Cell_Sequencing,,,
Single Cell Isolation Method,"The method by which cells are isolated into individual reaction containers at a single cell resolution (e.g. wells, micro-droplets)","Microfluidics Chip, Droplets, FACS, Plates, 10x, Nuclei Isolation",,,TRUE,Single_Cell_Sequencing,,,
Total Number of Input Cells,Number of cells loaded/placed on plates,,,,TRUE,Single_Cell_Sequencing,,,
Input Cells and Nuclei,"Number of cells and number of nuclei input; entry format: number, number",,,,TRUE,Single_Cell_Sequencing,,,
scATAC-seq Level 1,"scATAC-seq files containing sequence read information, with or without alignment, as FASTQ or BAM files",,"Component, Filename, File Format, Participant ID, Sample ID, Detailed Sample ID,Nucleic Acid Source, Dissociation Method, Single Nucleus Buffer, Single Cell Isolation Method, Transposition Reaction, scATACseq Library Layout, Nucleus Identifier, Nuclei Barcode Length, Nuclei Barcode Read, scATACseq Read1, scATACseq Read2, scATACseq Read3, Library Construction Method, Sequencing Platform, Threshold for Minimum Passing Reads, Total Number of Passing Nuclei, Median Fraction of Reads in Peaks, Median Fraction of Reads in Annotated cis DNA Elements, Median Passing Read Percentage, Median Percentage of Mitochondrial Reads per Nucleus,Technical Replicate Group, Total Reads, Protocol Link",,FALSE,Single_Cell_Sequencing,,,
Transposition Reaction,"Name of the transposase, transposon sequences","Tn5, EZ-Tn5, Tn5-059, Nextera Tn5, Diagenode-unloaded Apex-Bio, Diagenode-loaded Apex-Bio, In-House",,,TRUE,scATAC-seq Level 1,,,
Single Nucleus Buffer,Nuclei isolation buffer,"NIB, 10x, Omni",,,TRUE,scATAC-seq Level 1,,,
scATACseq Library Layout,Sequencing read type,scATACseq Paired End,,,TRUE,scATAC-seq Level 1,,,
Nucleus Identifier,Unique nuclei barcode; added at transposition step. Determines which nucleus the reads originated from,Nuclei Barcode,,,TRUE,scATAC-seq Level 1,,,
Nuclei Barcode Read,Nuclei Barcode Read,,,,TRUE,scATAC-seq Level 1,,,
Nuclei Barcode Length,Nuclei Barcode Length,,,,TRUE,scATAC-seq Level 1,,,
scATACseq Paired End,A library layout type,"scATACseq Read1, scATACseq Read2",,,FALSE,scATAC-seq Level 1,,,
scATACseq Read1,Read 1 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert, DNA Insert, Sample Index, Cell Barcode",,,TRUE,scATAC-seq Level 1,,,
scATACseq Read2,Read 2 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert, DNA Insert, Sample Index, Cell Barcode",,,TRUE,scATAC-seq Level 1,,,
scATACseq Read3,Read 3 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert, DNA Insert, Sample Index, Cell Barcode",,,FALSE,scATAC-seq Level 1,,,
Threshold for Minimum Passing Reads,Threshold for calling cells,,,,TRUE,scATAC-seq Level 1,,,
Total Number of Passing Nuclei,Number of nuclei sequenced,,,,TRUE,scATAC-seq Level 1,,,
Median Fraction of Reads in Peaks,Median fraction of reads in peaks (FRIP),,Peaks Calling Software,,TRUE,scATAC-seq Level 1,,,
Median Fraction of Reads in Annotated cis DNA Elements,Median fraction of reads in annotated cis-DNA elements (FRIADE),,Peaks Calling Software,,TRUE,scATAC-seq Level 1,,,
Median Passing Read Percentage,Non-PCR duplicate nuclear genomic sequence reads not aligning to unanchored contigs out of total reads assigned to the nucleus barcode,,,,TRUE,scATAC-seq Level 1,,,
Median Percentage of Mitochondrial Reads per Nucleus,Contamination from mitochondrial sequences,,,,TRUE,scATAC-seq Level 1,,,
scRNA-seq Level 1,Single-cell RNA-seq [EFO_0008913],,"Component, Filename, File Format, Participant ID, Sample ID, Detailed Sample ID, Cryopreserved Cells in Sample, Single Cell Isolation Method, Dissociation Method, Library Construction Method, Read Indicator, Read1, Read2, End Bias, Reverse Transcription Primer, Spike In, Sequencing Platform, Total Number of Input Cells, Input Cells and Nuclei,Protocol Link, Technical Replicate Group",,FALSE,Single_Cell_Sequencing,Biospecimen,http://www.ebi.ac.uk/efo/EFO_0008913,
Cell Barcode and UMI,Cell and transcript identifiers,"","UMI Barcode Offset, UMI Barcode Length, Median UMIs per Cell Number, Cell Barcode Offset, Cell Barcode Length, Valid Barcodes Cell Number","",FALSE,scRNA-seq Level 1,"","",""
Cell Barcode Offset,Offset in sequence for cell barcode read (in bp): number,"","","",TRUE,scRNA-seq Level 1,"","",""
Cell Barcode Length,Length of cell barcode read (in bp): number,"","","",TRUE,scRNA-seq Level 1,"","",""
Valid Barcodes Cell Number,Number,"","","",TRUE,scRNA-seq Level 1,"","",""
UMI Barcode Offset,"Start position of UMI barcode in the sequence. Values: number, 0 for start of read","","","",TRUE,scRNA-seq Level 1,"",https://www.ebi.ac.uk/arrayexpress/help/single-cell_submission_guide.html,""
UMI Barcode Length,Length of UMI barcode read (in bp): number,"","","",TRUE,scRNA-seq Level 1,"","",""
Median UMIs per Cell Number,Number,"","","",TRUE,scRNA-seq Level 1,"","",""
Input Cells and Nuclei,"Number of cells and number of nuclei input; entry format: number, number","","","",TRUE,scRNA-seq Level 1,"","",""
CEL-seq2,Highly-multiplexed plate-based single-cell RNA-Seq assay,"","Empty Well Barcode, Well Index","",FALSE,scRNA-seq Level 1,"","",""
Empty Well Barcode,Unique cell barcode assigned to empty cells used as controls in CEL-seq2 assays.,"","","",TRUE,scRNA-seq Level 1,"","",""
Well Index,Indicate if protein expression (EPCAM/CD45) positive/negative data  is available for each cell in CEL-seq2 assays,"Yes, No","","",FALSE,scRNA-seq Level 1,"","",""
Single Cell Dissociation Days from Index,Number of days between sample for single cell assay was received in lab and when the sample was dissociated and cells were isolated [number],"","","",TRUE,scRNA-seq Level 1,"","",""
End Bias,"The end of the cDNA molecule that is preferentially sequenced, e.g. 3/5 prime tag/end or the full length transcript","3 Prime, 5 Prime, Full Length Transcript","","",TRUE,scRNA-seq Level 1,"","",""
Reverse Transcription Primer,"An oligo to which new deoxyribonucleotides can be added by DNA polymerase [SO_0000112]. The type of primer used for reverse transcription, e.g. oligo-dT or random primer. This allows users to identify content of the cDNA library input e.g. enriched for mRNA","Oligo-dT, Poly-dT, Feature barcoding, Random","","",TRUE,scRNA-seq Level 1,"",http://www.sequenceontology.org/so_wiki/index.php/Category:SO:0000112_!_primer,""
Feature barcoding,A method for adding extra channels of information to cells by running single-cell gene expression in parallel with other assays [https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/feature-bc],"",Feature Reference Id,"",FALSE,scRNA-seq Level 1,"",https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/feature-bc,""
Feature Reference Id,"Unique ID for this feature. Must not contain whitespace, quote or comma characters. Each ID must be unique and must not collide with a gene identifier from the transcriptome [https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/using/feature-bc-analysis#feature-ref]","","","",TRUE,scRNA-seq Level 1,"","",""
Spike In,A set of known synthetic RNA molecules with known sequence that are added to the cell lysis mix,"ERCC, Other Spike In, No Spike In, PhiX","","",TRUE,scRNA-seq Level 1,"","",""
scRNA-seq Level 2,Alignment workflows downstream of scRNA-seq Level 1,,"Component, Filename, File Format, Participant ID, Sample ID, Detailed Sample ID, scRNAseq Workflow Type, Workflow Version, scRNAseq Workflow Parameters Description, Workflow Link, Genomic Reference, Genomic Reference URL, Genome Annotation URL, Whitelist Cell Barcode File Link, Cell Barcode Tag, UMI Tag, Applied Hard Trimming",,FALSE,Single_Cell_Sequencing,scRNA-seq Level 1,,
scRNA-seq Level 3,Gene and Isoform expression files,,"Component, Filename, File Format, Participant ID, Sample ID, Detailed Sample ID, Data Category, Matrix Type, Linked Matrices, Cell Median Number Reads, Cell Median Number Genes, Cell Total, scRNAseq Workflow Type, scRNAseq Workflow Parameters Description, Workflow Link, Workflow Version",,FALSE,Single_Cell_Sequencing,,,
Cell Median Number Reads,Median number of reads per cell. Number,"","","",TRUE,scRNA-seq Level 3,"","",""
Cell Median Number Genes,Median number of genes detected per cell. Number,"","","",TRUE,scRNA-seq Level 3,"","",""
Cell Total,Number of sequenced  cells. Applies to raw counts matrix only.,"","","",TRUE,scRNA-seq Level 3,"","",""
scRNA-seq Level 4,"Gene and Isoform expression files",,"Component, Filename, File Format, Participant ID, Sample ID, Detailed Sample ID,Data Category, Matrix Type, Linked Matrices, Cell Median Number Reads, Cell Median Number Genes, Cell Total, scRNAseq Workflow Type, scRNAseq Workflow Parameters Description, Workflow Link, Workflow Version",,FALSE,Single_Cell_Sequencing,,,
Biospecimen,"Biological entity; this can be tissue, blood, analyte and subsamples of those","","Biospecimen ID, Parent ID, Parent Biospecimen ID, Adjacent Biospecimen IDs,Biospecimen Type,Timepoint Label,Specimen Laterality","",FALSE,Patient,"","",""
Sample ID, ID associated with a biosample,"","","",TRUE,Biospecimen,"",,""
Biospecimen ID, Alias for Sample ID,"","","",TRUE,Biospecimen,"",,""
Detailed Sample ID, Additional alternative ID associated with a biosample,"","","",TRUE,Biospecimen,"",,""
Parent ID, ID of parent biospecimen,"","","",TRUE,Biospecimen,"",https://docs.google.com/document/d/1podtPP8L1UNvVxx9_c_szlDcU1f8n7bige6XA_GoRVM/edit?usp=sharing,""
Parent Biospecimen ID, Biospecimen identifier indicating the biospecimen(s) from which these files were derived; multiple parent biospecimen should be comma-separated,"","","",TRUE,Biospecimen,"",https://docs.google.com/document/d/1podtPP8L1UNvVxx9_c_szlDcU1f8n7bige6XA_GoRVM/edit?usp=sharing,""
Biospecimen Type,Biospecimen Type,"Tissue Biospecimen Type, Blood Biospecimen Type, Analyte Biospecimen Type, Mouth Rinse Biospecimen Type, Stool Biospecimen Type, Urine Biospecimen Type, Ascites Biospecimen Type, Sputum Biospecimen Type, Fluids Biospecimen Type, Bone Marrow Biospecimen Type, Cells Biospecimen Type","","",TRUE,Biospecimen,"","",""
Analyte Biospecimen Type,A molecular derivative (I.e. RNA / DNA / Protein Lysate) obtained from a specimen,"","Analyte Type, Fixation Duration, Slide Charge Type, Section Thickness Value, Sectioning Days from Index, Shipping Condition Type, Ischemic Time, Ischemic Temperature","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2513915&version=2.0,""
Tissue Biospecimen Type,Tissue biospecimen,"","Ischemic Time, Ischemic Temperature, Site of Resection or Biopsy, Specimen Laterality, Portion Weight, Total Volume, Tumor Tissue Type, Histologic Morphology Code, Preservation Method, Biospecimen Dimension 1, Biospecimen Dimension 2, Biospecimen Dimension 3, Section Number in Sequence","",FALSE,Biospecimen,"","",""
Bone Marrow Biospecimen Type,Bone Marrow biospecimen,"","Ischemic Time, Ischemic Temperature, Site of Resection or Biopsy, Specimen Laterality, Portion Weight, Total Volume, Tumor Tissue Type, Histologic Morphology Code, Preservation Method, Biospecimen Dimension 1, Biospecimen Dimension 2, Biospecimen Dimension 3, Section Number in Sequence","",FALSE,Biospecimen,"","",""
Urine Biospecimen Type,Urine biospecimen,"","Ischemic Time, Ischemic Temperature, Site of Resection or Biopsy, Specimen Laterality, Portion Weight, Total Volume, Tumor Tissue Type, Histologic Morphology Code, Preservation Method","",FALSE,Biospecimen,"","",""
Blood Biospecimen Type,Blood biospecimen,"",Shipping Condition Type,"",FALSE,Biospecimen,"","",""
Timepoint Label,"Label to identify the time point at which the clinical data or biospecimen was obtained (e.g. Baseline, End of Treatment, Overall survival, Final). NO PHI/PII INFORMATION IS ALLOWED.","","","",TRUE,Biospecimen,"","",""
Collection Days from Index,Number of days from the research participant's index date that the biospecimen was obtained.,"","","",TRUE,Biospecimen,"","",""
Adjacent Sample IDs,"List of  Identifiers (separated by commas) of adjacent biospecimens cut from the same sample","","","",FALSE,Biospecimen,"","",""
Mounting Medium,"The solution in which the specimen is embedded, generally under a cover glass. It may be liquid, gum or resinous, soluble in water, alcohol or other solvents and be sealed from the external atmosphere by non-soluble ringing media","Aqueous water based, Non-Aqueous Solvent based, Xylene,Toluene,Antifade with DAPI,Antifade without DAPI,PBS,unknown,Not Reported","","",FALSE,Biospecimen,"","",""
Analyte Type,The kind of molecular specimen analyte: a molecular derivative (I.e. RNA / DNA / Protein Lysate) obtained from a specimen,"cfDNA Analyte, DNA Analyte, RNA Analyte, Total RNA Analyte, Tissue Block Analyte, Tissue Section Analyte, PBMCs or Plasma or Serum Analyte, cDNA Libraries Analyte, PBMCs, Plasma, Serum Analyte","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2513915&version=2.0,""
Acquisition Method Type,Records the method of acquisition or source for the specimen under consideration.,"Autopsy, Biopsy, Fine Needle Aspirate, Surgical Resection, Punch Biopsy, Shave Biopsy, Excision, Re-excision, Sentinel Node Biopsy, Lymphadenectomy - Regional Nodes, Other Acquisition Method, Non induced sputum, Induced sputum, BAL (bronchial alveolar lavage), Cytobrush, Blood draw, Fluid collection, Forceps biopsy, Core needle biopsy, Endoscopic biopsy, Not specified","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6626651&version=1.0,""
Other Acquisition Method,A custom acquisition method,"",Acquisition Method Other Specify,"",FALSE,Biospecimen,"","",""
Acquisition Method Other Specify,A custom acquisition method [Text - max length 100 characters],"","","",TRUE,Biospecimen,"","",""
Preservation Method,Text term that represents the method used to preserve the sample.,"Archival,Cryopreserved, Cryopreservation in liquid nitrogen - dead tissue, Cryopreservation in dry ice - dead tissue, Cryopreservation in liquid nitrogen - live cells, Formalin fixed paraffin embedded - FFPE, Formalin fixed-unbuffered, Formalin fixed-buffered, Fresh, Fresh dissociated and single cell sorted into plates in NP40 buffer, OCT, Snap Frozen, Frozen, Negative 80 Deg C, Liquid Nitrogen, Fresh dissociated, Fresh dissociated and single cell sorted, Fresh dissociated and single cell sorted into plates, Methacarn fixed paraffin embedded - MFPE, unknown, Not Reported","","",TRUE,Biospecimen,"","",""
Fixative Type,Text term to identify the type of fixative used to preserve a tissue specimen,"Acetone, Alcohol, Formalin, Glutaraldehyde, OCT media, RNAlater, Saline, 95% Ethanol, Dimidoester, Carbodiimide, Dimethylacetamide, Para-benzoquinone, PAXgene tissue, TCL lysis buffer, NP40 lysis buffer, Methacarn, Cryo-store, Carnoy's Fixative, Polaxamer, Other, None, unknown","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=65078&version=3.0,""
Fixation Duration,"The length of time, from beginning to end, required to process or preserve biospecimens in fixative (measured in minutes)","","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5230144&version=1.0,""
Ischemic Time,"Duration of time, in seconds, between when the specimen stopped receiving oxygen and when it was preserved or processed. Integer value.","","","",FALSE,Biospecimen,"",https://data.humancellatlas.org/metadata/dictionary/biomaterial/specimen_from_organism#specimen_from_organism-state_of_specimen-gross_description,""
Ischemic Temperature,Specify whether specimen experienced warm or cold ischemia.,"Warm Ischemia, Cold Ischemia, Ambient air, 4C wet ice, Negative -20C, Dry Ice, Liquid Nitrogen, unknown","","",FALSE,Biospecimen,"",https://data.humancellatlas.org/metadata/dictionary/biomaterial/specimen_from_organism#specimen_from_organism-state_of_specimen-gross_description,""
Collection Media,Material Specimen is collected into post procedure,"DMEM, DMEM+Serum, RPMI, RPMI+Serum, PBS, PBS+Serum, None","","",FALSE,Biospecimen,"","",""
Specimen Laterality,"For samples in paired organs, designates the side from which obtained.","Bilateral, Left, Right, unknown, Not Reported, Not Applicable","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2007875&version=1.0,""
Portion Weight,"Numeric value that represents the sample portion weight, measured in milligrams.","","","",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5432593&version=1.0,""
Total Volume,Numeric value for the total amount of sample or specimen,"",Total Volume Unit,"",FALSE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3005019&version=1.0,""
Total Volume Unit,Unit of measurement used for the total amount of sample or specimen,"mL, mm^3, cm^2","","",FALSE,Biospecimen,"","",""
Tumor Tissue Type,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),"Additional Primary, Local recurrence, Metastatic, Premalignant, Primary, Recurrent, Normal, Normal adjacent, Normal distant, Post therapy, Post therapy neoadjuvant, Post therapy adjuvant, Not Otherwise Specified, Premalignant - in situ, Atypia - hyperplasia","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3288124&version=1.0,""
Histologic Morphology Code,"Histologic Morphology Code, based on ICD-O-3. Any valid ICD-O-3 morphology code. See https://seer.cancer.gov/icd-o-3/ and https://seer.cancer.gov/icd-o-3/sitetype.icdo3.20200629.xlsx. Examples: 80510","","","",TRUE,Biospecimen,"",https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=3226275&version=1.0,""
